"judul_berita","tanggal_publikasi","jam_publikasi","kategori"
"Pemprov DKI Siap Siaga Antisipasi Dampak Curah Hujan Tinggi","2020-01-01","21:25","Fokus"
"Dinsos DKI Jakarta Siapkan Dapur Umum Bagi Warga Terdampak Banjir","2020-01-01","21:16","Lintas Kota"
"Wali Kota Jakbar Salurkan Bantuan Korban Banjir di Posko Rawa Buaya ","2020-01-01","20:16","Jakarta Hari Ini"
"Ini Dua Lokasi Pengungsian di Kelurahan Petogogan","2020-01-01","19:34","Banjir"
"Dinkes DKI Siagakan 32 RSUD dan 44 Puskesmas Kecamatan Bagi Warga Terdampak Banjir","2020-01-01","19:31","Banjir"
"Petugas Tangani Tanggul Longsor di Kelurahan Setu","2020-01-01","19:08","Jakarta Hari Ini"
"Sudin PE Jaktim Tambah Penerangan di Lokasi Pengungsian","2020-01-01","19:04","Jakarta Hari Ini"
"Pintu Air Kali Ciliwung Lama Dibuka Hingga 210 Sentimeter","2020-01-01","18:50","Jakarta Hari Ini"
"Penumpang MRT Jakarta Capai 119 Ribu Saat Malam Tahun Baru","2020-01-01","18:13","BUMD"
"Wali Kota Jaksel Tinjau Sejumlah Lokasi Terdampak Banjir","2020-01-01","17:47","Banjir"
"Sampah di Malam Tahun Baru Menurun Drastis","2020-01-01","17:39","Pemerintahan"
"Petugas PPSU Bantu Warga Terdampak Banjir","2020-01-01","17:05","Banjir"
"Wakil Ketua DPRD Apresiasi Gerak Cepat Anies dalam Penanganan Banjir","2020-01-01","17:00","Legislatif"
"Wakil Wali Kota Jakpus Cek Penanganan Banjir","2020-01-01","16:51","Banjir"
"Sudin Gulkarmat Jaktim Evakuasi Warga Terdampak Banjir","2020-01-01","16:26","Banjir"
"Sudin Sosial Jaktim Distribusikan 1.850 Makanan Siap Saji","2020-01-01","16:21","Kesra"
"Kelurahan Cengkareng Timur Dirikan Dapur Umum di RW 05","2020-01-01","15:42","Lintas Kota"
"Petugas Atasi Genangan di Kelurahan Pulau Panggang ","2020-01-01","15:05","Banjir"
"Ini Beberapa Posko Penanganan Banjir di Ibukota","2020-01-01","14:56","Banjir"
"Seluruh Personel Satpol PP Dikerahkan Bantu Warga Terdampak Banjir","2020-01-01","14:51","Jakarta Hari Ini"
"Warga Terdampak Banjir di Kecamatan Cempaka Putih Sudah Dievakuasi","2020-01-01","14:44","Banjir"
"Genangan di Jl Kamal Raya Berangsur Surut","2020-01-01","14:02","Jakarta Hari Ini"
"Petugas Bersihkan Perairan Pulau Tidung ","2020-01-01","13:32","Jakarta Hari Ini"
"Halte Transjakarta Jembatan Baru Jadi Tempat Pengungsian Sementara","2020-01-01","13:28","BUMD"
"Lima Puskesmas Kelurahan di Jakut Difungsikan Jadi Posko Pengungsian","2020-01-01","13:20","Banjir"
"Underpass Kuningan-Mampang Sudah Bisa Dilintasi Kendaraan","2020-01-01","13:16","Jakarta Hari Ini"
"Sudin Sosial Jaktim Dirikan Dapur Umum di Cawang","2020-01-01","13:05","Jakarta Hari Ini"
"Petugas Gabungan Bantu Evakuasi Warga di Sukapura","2020-01-01","12:52","Banjir"
"Sudin Gulkarmat Jaktim Kerahkan 28 Perahu Karet untuk Evakuasi Warga","2020-01-01","12:49","Jakarta Hari Ini"
"Pintu Air Depok Siaga 1","2020-01-01","12:38","Banjir"
"45 Petugas Gabungan Tangani Banjir di Rawajati","2020-01-01","12:25","Banjir"
"Sudinhub Jakut Siagakan Mobil Derek di Lokasi Terdampak Genangan","2020-01-01","12:12","Banjir"
"Pohon Tumbang di Pulau Tidung Dievakuasi ","2020-01-01","11:51","Jakarta Hari Ini"
"Personel Dinas Gulkarmat dan BPBD Dikerahkan untuk Evakuasi Warga ","2020-01-01","11:48","Jakarta Hari Ini"
"Atasi Genangan, SDA Jakut Buka Penyaring Pintu Air Kali Kresek","2020-01-01","11:14","Banjir"
"40 Meter Kubik Sampah Diangkat dari Pintu Air Manggarai","2020-01-01","11:00","Jakarta Hari Ini"
"PD PAL Jaya Bantu Warga Terdampak Genangan ","2020-01-01","10:57","BUMD"
"Sudin Sosial Jakut Siapkan 500 Paket Makanan Siap Saji ","2020-01-01","10:53","Banjir"
"Anies Pastikan Penanganan Terkait Banjir Dilakukan Optimal","2020-01-01","10:40","Banjir"
"Beberapa Koridor Transjakarta Setop Operasi Sementara","2020-01-01","10:35","BUMD"
"Petugas PPSU Evakuasi Pohon Tumbang di Jl Arteri Marunda","2020-01-01","09:34","Banjir"
"Pintu Air Manggarai Berstatus Siaga 2","2020-01-01","09:26","Jakarta Hari Ini"
"Jl Sudirman - Thamrin Sudah Bisa Dilalui Kendaraan","2020-01-01","03:40","Jakarta Hari Ini"
"Penjual Jas Hujan Raup Rezeki di Kawasan Bundaran HI","2020-01-01","03:19","Ekonomi"
"APBD 2020 Sudah Bisa Digunakan Mulai 1 Januari","2020-01-01","01:59","Fokus"
"Wali Kota Jaksel Berharap Tahun 2020 Semakin Baik","2020-01-01","01:47","Jakarta Hari Ini"
"Wakil Wali Kota Jakpus Tinjau Lokasi Keramaian Malam Tahun Baru","2020-01-01","01:26","Jakarta Hari Ini"
"Alif dan Riski Senang Bisa Naik Transjakarta ke Acara Tahun Baru","2020-01-01","00:40","Transportasi"
"Pedagang Thamrin 10 Petik Berkah Malam Tahun Baru ","2020-01-01","00:02","Ekonomi"
